,Statistic,Month,NACE.Rev.2.Sector,value
6714,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,"Professional, Scientific & Technical Activities (M)",6.5
6715,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,Administrative & Support Service Activities (N (excl. 7735)),-4.0
6716,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,"Other Service Activities (L, 92, 93, 95, 96)",5.2
6717,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-2.0
6718,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,Wholesale Trade (46),-2.7
6719,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,Accommodation (55),-1.5
6720,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M04,"Food Service Activities (561, 562)",-0.8
6721,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.3
6722,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Transportation & Storage (H),-1.0
6723,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Accommodation & Food Service Activities (I),-9.2
6724,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Information & Communication (J),3.6
6725,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,"Professional, Scientific & Technical Activities (M)",3.7
6726,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Administrative & Support Service Activities (N (excl. 7735)),3.8
6727,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,"Other Service Activities (L, 92, 93, 95, 96)",7.5
6728,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",4.2
6729,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Wholesale Trade (46),2.0
6730,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,Accommodation (55),4.6
6731,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M05,"Food Service Activities (561, 562)",-1.7
6732,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.7
6733,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Transportation & Storage (H),-1.8
6734,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Accommodation & Food Service Activities (I),83.0
6735,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Information & Communication (J),2.4
6736,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,"Professional, Scientific & Technical Activities (M)",1.2
6737,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Administrative & Support Service Activities (N (excl. 7735)),2.4
6738,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,"Other Service Activities (L, 92, 93, 95, 96)",35.5
6739,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.7
6740,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Wholesale Trade (46),-1.8
6741,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,Accommodation (55),510.3
6742,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M06,"Food Service Activities (561, 562)",2.1
6743,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-1.9
6744,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Transportation & Storage (H),1.3
6745,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Accommodation & Food Service Activities (I),24.8
6746,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Information & Communication (J),-0.8
6747,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,"Professional, Scientific & Technical Activities (M)",13.6
6748,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Administrative & Support Service Activities (N (excl. 7735)),-0.2
6749,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,"Other Service Activities (L, 92, 93, 95, 96)",3.5
6750,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.3
6751,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Wholesale Trade (46),-3.1
6752,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,Accommodation (55),24.8
6753,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M07,"Food Service Activities (561, 562)",29.5
6754,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.8
6755,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Transportation & Storage (H),5.8
6756,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Accommodation & Food Service Activities (I),12.2
6757,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Information & Communication (J),0.8
6758,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,"Professional, Scientific & Technical Activities (M)",-4.6
6759,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Administrative & Support Service Activities (N (excl. 7735)),1.7
6760,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,"Other Service Activities (L, 92, 93, 95, 96)",-5.0
6761,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.3
6762,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Wholesale Trade (46),4.5
6763,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,Accommodation (55),1.5
6764,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M08,"Food Service Activities (561, 562)",19.5
6765,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.4
6766,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Transportation & Storage (H),2.2
6767,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Accommodation & Food Service Activities (I),3.1
6768,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Information & Communication (J),3.9
6769,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,"Professional, Scientific & Technical Activities (M)",3.7
6770,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Administrative & Support Service Activities (N (excl. 7735)),-1.1
6771,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,"Other Service Activities (L, 92, 93, 95, 96)",10.9
6772,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.2
6773,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Wholesale Trade (46),-0.5
6774,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,Accommodation (55),-2.3
6775,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M09,"Food Service Activities (561, 562)",2.8
6776,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.9
6777,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Transportation & Storage (H),8.0
6778,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Accommodation & Food Service Activities (I),11.1
6779,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Information & Communication (J),0.1
6780,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,"Professional, Scientific & Technical Activities (M)",0.2
6781,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Administrative & Support Service Activities (N (excl. 7735)),1.6
6782,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,"Other Service Activities (L, 92, 93, 95, 96)",0.9
6783,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.5
6784,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Wholesale Trade (46),-0.4
6785,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,Accommodation (55),7.0
6786,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M10,"Food Service Activities (561, 562)",3.9
6787,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.0
6788,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Transportation & Storage (H),1.6
6789,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Accommodation & Food Service Activities (I),-3.8
6790,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Information & Communication (J),2.5
6791,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,"Professional, Scientific & Technical Activities (M)",-1.9
6792,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Administrative & Support Service Activities (N (excl. 7735)),3.1
6793,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,"Other Service Activities (L, 92, 93, 95, 96)",9.4
6794,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.2
6795,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Wholesale Trade (46),0.9
6796,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,Accommodation (55),-4.5
6797,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M11,"Food Service Activities (561, 562)",3.1
6798,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.9
6799,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Transportation & Storage (H),-6.5
6800,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Accommodation & Food Service Activities (I),-13.9
6801,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Information & Communication (J),5.9
6802,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,"Professional, Scientific & Technical Activities (M)",-2.6
6803,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Administrative & Support Service Activities (N (excl. 7735)),-6.0
6804,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,"Other Service Activities (L, 92, 93, 95, 96)",-7.8
6805,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.1
6806,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Wholesale Trade (46),0.6
6807,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,Accommodation (55),-9.5
6808,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2021M12,"Food Service Activities (561, 562)",-0.5
6809,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.6
6810,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Transportation & Storage (H),6.8
6811,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Accommodation & Food Service Activities (I),0.4
6812,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Information & Communication (J),-4.1
6813,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,"Professional, Scientific & Technical Activities (M)",-0.9
6814,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Administrative & Support Service Activities (N (excl. 7735)),7.0
6815,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,"Other Service Activities (L, 92, 93, 95, 96)",3.7
6816,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-2.2
6817,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Wholesale Trade (46),2.2
6818,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,Accommodation (55),5.7
6819,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M01,"Food Service Activities (561, 562)",-9.1
6820,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.6
6821,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Transportation & Storage (H),4.8
6822,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Accommodation & Food Service Activities (I),21.4
6823,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Information & Communication (J),6.8
6824,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,"Professional, Scientific & Technical Activities (M)",4.1
6825,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Administrative & Support Service Activities (N (excl. 7735)),2.5
6826,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,"Other Service Activities (L, 92, 93, 95, 96)",-4.0
6827,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",6.7
6828,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Wholesale Trade (46),-1.4
6829,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,Accommodation (55),28.9
6830,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M02,"Food Service Activities (561, 562)",18.4
6831,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.3
6832,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Transportation & Storage (H),-0.6
6833,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Accommodation & Food Service Activities (I),0.2
6834,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Information & Communication (J),2.4
6835,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,"Professional, Scientific & Technical Activities (M)",2.1
6836,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Administrative & Support Service Activities (N (excl. 7735)),4.0
6837,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,"Other Service Activities (L, 92, 93, 95, 96)",8.4
6838,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.2
6839,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Wholesale Trade (46),2.9
6840,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,Accommodation (55),-2.5
6841,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M03,"Food Service Activities (561, 562)",3.0
6842,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.1
6843,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Transportation & Storage (H),5.4
6844,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Accommodation & Food Service Activities (I),9.8
6845,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Information & Communication (J),-0.3
6846,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,"Professional, Scientific & Technical Activities (M)",-1.8
6847,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Administrative & Support Service Activities (N (excl. 7735)),-2.6
6848,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,"Other Service Activities (L, 92, 93, 95, 96)",10.0
6849,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-0.4
6850,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Wholesale Trade (46),-1.2
6851,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,Accommodation (55),17.1
6852,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M04,"Food Service Activities (561, 562)",5.6
6853,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-1.0
6854,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Transportation & Storage (H),4.6
6855,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Accommodation & Food Service Activities (I),-0.2
6856,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Information & Communication (J),-4.2
6857,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,"Professional, Scientific & Technical Activities (M)",1.6
6858,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Administrative & Support Service Activities (N (excl. 7735)),6.7
6859,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,"Other Service Activities (L, 92, 93, 95, 96)",-8.2
6860,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.9
6861,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Wholesale Trade (46),3.6
6862,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,Accommodation (55),-6.1
6863,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M05,"Food Service Activities (561, 562)",2.7
6864,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.0
6865,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Transportation & Storage (H),-1.6
6866,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Accommodation & Food Service Activities (I),-0.8
6867,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Information & Communication (J),9.5
6868,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,"Professional, Scientific & Technical Activities (M)",1.8
6869,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Administrative & Support Service Activities (N (excl. 7735)),-5.1
6870,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,"Other Service Activities (L, 92, 93, 95, 96)",5.6
6871,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.2
6872,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Wholesale Trade (46),1.2
6873,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,Accommodation (55),1.6
6874,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M06,"Food Service Activities (561, 562)",0.8
6875,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.6
6876,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Transportation & Storage (H),4.0
6877,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Accommodation & Food Service Activities (I),0.3
6878,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Information & Communication (J),-1.3
6879,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,"Professional, Scientific & Technical Activities (M)",-2.4
6880,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Administrative & Support Service Activities (N (excl. 7735)),-1.8
6881,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,"Other Service Activities (L, 92, 93, 95, 96)",3.4
6882,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.5
6883,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Wholesale Trade (46),-0.4
6884,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,Accommodation (55),-0.6
6885,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M07,"Food Service Activities (561, 562)",3.2
6886,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.0
6887,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Transportation & Storage (H),-2.8
6888,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Accommodation & Food Service Activities (I),1.1
6889,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Information & Communication (J),-0.3
6890,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,"Professional, Scientific & Technical Activities (M)",6.0
6891,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Administrative & Support Service Activities (N (excl. 7735)),-1.6
6892,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,"Other Service Activities (L, 92, 93, 95, 96)",2.9
6893,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-0.1
6894,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Wholesale Trade (46),2.8
6895,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,Accommodation (55),-1.3
6896,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M08,"Food Service Activities (561, 562)",0.3
6897,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.7
6898,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Transportation & Storage (H),-6.1
6899,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Accommodation & Food Service Activities (I),1.4
6900,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Information & Communication (J),-0.5
6901,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,"Professional, Scientific & Technical Activities (M)",-4.0
6902,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Administrative & Support Service Activities (N (excl. 7735)),3.6
6903,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,"Other Service Activities (L, 92, 93, 95, 96)",1.7
6904,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.6
6905,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Wholesale Trade (46),-0.5
6906,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,Accommodation (55),2.7
6907,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M09,"Food Service Activities (561, 562)",2.3
6908,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-5.7
6909,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Transportation & Storage (H),-0.1
6910,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Accommodation & Food Service Activities (I),7.6
6911,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Information & Communication (J),-0.9
6912,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,"Professional, Scientific & Technical Activities (M)",-9.2
6913,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Administrative & Support Service Activities (N (excl. 7735)),-5.3
6914,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,"Other Service Activities (L, 92, 93, 95, 96)",0.7
6915,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-4.9
6916,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Wholesale Trade (46),-9.0
6917,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,Accommodation (55),0.3
6918,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M10,"Food Service Activities (561, 562)",2.2
6919,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.7
6920,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Transportation & Storage (H),-2.6
6921,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Accommodation & Food Service Activities (I),-0.7
6922,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Information & Communication (J),0.4
6923,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,"Professional, Scientific & Technical Activities (M)",1.9
6924,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Administrative & Support Service Activities (N (excl. 7735)),6.7
6925,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,"Other Service Activities (L, 92, 93, 95, 96)",3.9
6926,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-1.8
6927,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Wholesale Trade (46),1.4
6928,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,Accommodation (55),1.0
6929,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M11,"Food Service Activities (561, 562)",4.7
6930,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.6
6931,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,Transportation & Storage (H),-0.3
6932,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,Accommodation & Food Service Activities (I),0.4
6933,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,Information & Communication (J),0.8
6934,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,"Professional, Scientific & Technical Activities (M)",-1.0
6935,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,Administrative & Support Service Activities (N (excl. 7735)),-0.8
6936,Percentage Change over 1 month for Services Index Volume (Seasonally Adjusted),2022M12,"Other Service Activities (L, 92, 93, 95, 96)",2.1
