,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
8870,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Both sexes,Services (G to U),
8871,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",101.7
8872,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Both sexes,Other NACE activities (R to U),109.0
8873,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Both sexes,Not stated,
8874,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,All NACE economic sectors,1036.0
8875,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,"Agriculture, forestry and fishing (A)",96.3
8876,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Construction (F),81.3
8877,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.9
8878,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Transportation and storage (H),65.2
8879,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Accommodation and food service activities (I),69.6
8880,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Information and communication (J),64.0
8881,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,"Professional, scientific and technical activities (M)",67.8
8882,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Administrative and support service activities (N),39.1
8883,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,"Public administration and defence, compulsory social security (O)",45.1
8884,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Education (P),36.0
8885,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Human health and social work activities (Q),58.8
8886,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Industry (B to E),174.1
8887,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Industry and Construction (B to F),
8888,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Services (G to U),
8889,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,"Financial, insurance and real estate activities (K,L)",49.3
8890,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Other NACE activities (R to U),46.9
8891,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Male,Not stated,
8892,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,All NACE economic sectors,889.9
8893,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,"Agriculture, forestry and fishing (A)",14.2
8894,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Construction (F),5.0
8895,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",141.2
8896,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Transportation and storage (H),15.4
8897,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Accommodation and food service activities (I),67.3
8898,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Information and communication (J),30.9
8899,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,"Professional, scientific and technical activities (M)",48.6
8900,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Administrative and support service activities (N),31.6
8901,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,"Public administration and defence, compulsory social security (O)",40.1
8902,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Education (P),107.7
8903,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Human health and social work activities (Q),199.0
8904,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Industry (B to E),71.5
8905,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Industry and Construction (B to F),
8906,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Services (G to U),
8907,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,"Financial, insurance and real estate activities (K,L)",52.3
8908,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Other NACE activities (R to U),62.2
8909,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q2,Female,Not stated,
8910,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,All NACE economic sectors,1948.9
8911,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,"Agriculture, forestry and fishing (A)",110.3
8912,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Construction (F),88.2
8913,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",282.8
8914,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Transportation and storage (H),83.7
8915,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Accommodation and food service activities (I),141.0
8916,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Information and communication (J),98.0
8917,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,"Professional, scientific and technical activities (M)",121.4
8918,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Administrative and support service activities (N),77.0
8919,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,"Public administration and defence, compulsory social security (O)",86.6
8920,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Education (P),141.2
8921,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Human health and social work activities (Q),256.6
8922,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Industry (B to E),248.9
8923,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Industry and Construction (B to F),
8924,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Services (G to U),
8925,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",102.8
8926,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Other NACE activities (R to U),106.6
8927,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Both sexes,Not stated,
8928,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,All NACE economic sectors,1050.9
8929,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,"Agriculture, forestry and fishing (A)",96.5
8930,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Construction (F),82.8
8931,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",138.4
8932,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Transportation and storage (H),68.2
8933,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Accommodation and food service activities (I),70.6
8934,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Information and communication (J),67.1
8935,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,"Professional, scientific and technical activities (M)",71.0
8936,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Administrative and support service activities (N),43.3
8937,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,"Public administration and defence, compulsory social security (O)",46.3
8938,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Education (P),36.4
8939,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Human health and social work activities (Q),54.9
8940,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Industry (B to E),175.5
8941,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Industry and Construction (B to F),
8942,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Services (G to U),
8943,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,"Financial, insurance and real estate activities (K,L)",50.0
8944,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Other NACE activities (R to U),47.7
8945,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Male,Not stated,
8946,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,All NACE economic sectors,898.3
8947,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,"Agriculture, forestry and fishing (A)",14.1
8948,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Construction (F),5.7
8949,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",144.6
8950,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Transportation and storage (H),15.9
8951,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Accommodation and food service activities (I),69.8
8952,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Information and communication (J),30.9
8953,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,"Professional, scientific and technical activities (M)",50.4
8954,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Administrative and support service activities (N),33.5
8955,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,"Public administration and defence, compulsory social security (O)",40.6
8956,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Education (P),104.8
8957,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Human health and social work activities (Q),201.8
8958,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Industry (B to E),73.4
8959,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Industry and Construction (B to F),
8960,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Services (G to U),
8961,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,"Financial, insurance and real estate activities (K,L)",52.8
8962,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Other NACE activities (R to U),58.6
8963,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q3,Female,Not stated,
8964,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,All NACE economic sectors,1963.4
8965,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,"Agriculture, forestry and fishing (A)",117.2
8966,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Construction (F),87.7
8967,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",280.9
8968,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Transportation and storage (H),84.6
8969,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Accommodation and food service activities (I),142.3
8970,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Information and communication (J),97.7
8971,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,"Professional, scientific and technical activities (M)",124.3
8972,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Administrative and support service activities (N),79.4
8973,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,"Public administration and defence, compulsory social security (O)",87.7
8974,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Education (P),140.5
8975,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Human health and social work activities (Q),262.1
8976,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Industry (B to E),250.0
8977,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Industry and Construction (B to F),
8978,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Services (G to U),
8979,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",100.6
8980,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Other NACE activities (R to U),106.9
8981,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Both sexes,Not stated,
8982,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,All NACE economic sectors,1067.4
8983,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,"Agriculture, forestry and fishing (A)",98.7
8984,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Construction (F),81.6
8985,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",139.1
8986,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Transportation and storage (H),69.0
8987,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Accommodation and food service activities (I),74.4
8988,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Information and communication (J),67.6
8989,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,"Professional, scientific and technical activities (M)",73.7
8990,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Administrative and support service activities (N),45.1
8991,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,"Public administration and defence, compulsory social security (O)",47.0
8992,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Education (P),38.0
8993,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Human health and social work activities (Q),56.4
8994,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Industry (B to E),178.5
8995,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Industry and Construction (B to F),
8996,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Services (G to U),
8997,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,"Financial, insurance and real estate activities (K,L)",48.6
8998,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Other NACE activities (R to U),45.5
8999,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Male,Not stated,
9000,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,All NACE economic sectors,897.7
9001,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,"Agriculture, forestry and fishing (A)",18.4
9002,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Construction (F),6.0
9003,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",141.5
9004,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Transportation and storage (H),15.4
9005,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Accommodation and food service activities (I),68.1
9006,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Information and communication (J),29.8
9007,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,"Professional, scientific and technical activities (M)",51.5
9008,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Administrative and support service activities (N),33.7
9009,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,"Public administration and defence, compulsory social security (O)",40.5
9010,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Education (P),102.5
9011,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Human health and social work activities (Q),205.0
9012,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Industry (B to E),71.8
9013,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Industry and Construction (B to F),
9014,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Services (G to U),
9015,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,"Financial, insurance and real estate activities (K,L)",51.8
9016,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Other NACE activities (R to U),61.9
9017,Persons aged 15-89 years in Employment (Seasonally Adjusted),2013Q4,Female,Not stated,
9018,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,All NACE economic sectors,1968.7
9019,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,"Agriculture, forestry and fishing (A)",111.9
9020,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Construction (F),87.7
9021,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",282.8
9022,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Transportation and storage (H),85.3
9023,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Accommodation and food service activities (I),143.4
9024,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Information and communication (J),97.2
9025,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,"Professional, scientific and technical activities (M)",128.0
9026,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Administrative and support service activities (N),78.4
9027,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,"Public administration and defence, compulsory social security (O)",88.1
9028,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Education (P),143.6
9029,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Human health and social work activities (Q),260.4
9030,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Industry (B to E),246.6
9031,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Industry and Construction (B to F),
9032,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Services (G to U),
9033,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",101.5
9034,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Other NACE activities (R to U),107.0
9035,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Both sexes,Not stated,
9036,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,All NACE economic sectors,1063.9
9037,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,"Agriculture, forestry and fishing (A)",95.1
9038,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Construction (F),81.6
9039,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.5
9040,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Transportation and storage (H),69.0
9041,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Accommodation and food service activities (I),74.4
9042,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Information and communication (J),65.8
9043,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,"Professional, scientific and technical activities (M)",75.4
9044,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Administrative and support service activities (N),44.9
9045,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,"Public administration and defence, compulsory social security (O)",47.9
9046,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Education (P),38.2
9047,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Human health and social work activities (Q),57.1
9048,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Industry (B to E),175.9
9049,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Industry and Construction (B to F),
9050,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Services (G to U),
9051,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,"Financial, insurance and real estate activities (K,L)",49.5
9052,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Other NACE activities (R to U),46.8
9053,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Male,Not stated,
9054,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,All NACE economic sectors,902.1
9055,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,"Agriculture, forestry and fishing (A)",16.8
9056,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Construction (F),6.0
9057,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",142.1
9058,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Transportation and storage (H),16.0
9059,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Accommodation and food service activities (I),69.0
9060,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Information and communication (J),31.6
9061,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,"Professional, scientific and technical activities (M)",51.4
9062,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Administrative and support service activities (N),33.6
9063,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,"Public administration and defence, compulsory social security (O)",40.6
9064,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Education (P),105.7
9065,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Human health and social work activities (Q),204.2
9066,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Industry (B to E),70.6
9067,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Industry and Construction (B to F),
9068,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Services (G to U),
9069,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,"Financial, insurance and real estate activities (K,L)",52.3
9070,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Other NACE activities (R to U),59.9
9071,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q1,Female,Not stated,
9072,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,All NACE economic sectors,1971.0
9073,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,"Agriculture, forestry and fishing (A)",106.8
9074,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Construction (F),90.7
9075,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",285.5
9076,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Transportation and storage (H),85.9
9077,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Accommodation and food service activities (I),143.4
9078,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Information and communication (J),97.9
9079,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,"Professional, scientific and technical activities (M)",125.1
9080,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Administrative and support service activities (N),78.9
9081,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,"Public administration and defence, compulsory social security (O)",88.1
9082,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Education (P),145.7
9083,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Human health and social work activities (Q),262.2
9084,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Industry (B to E),247.7
9085,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Industry and Construction (B to F),
9086,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Services (G to U),
9087,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",101.3
9088,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Other NACE activities (R to U),107.3
9089,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Both sexes,Not stated,
9090,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,All NACE economic sectors,1068.8
9091,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,"Agriculture, forestry and fishing (A)",90.7
9092,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Construction (F),84.0
9093,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",139.6
9094,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Transportation and storage (H),68.8
9095,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Accommodation and food service activities (I),74.3
9096,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Information and communication (J),67.7
9097,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,"Professional, scientific and technical activities (M)",75.9
9098,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Administrative and support service activities (N),46.0
9099,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,"Public administration and defence, compulsory social security (O)",47.3
9100,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Education (P),39.2
9101,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Human health and social work activities (Q),57.0
9102,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Industry (B to E),178.6
9103,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Industry and Construction (B to F),
9104,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Services (G to U),
9105,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,"Financial, insurance and real estate activities (K,L)",51.4
9106,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Other NACE activities (R to U),47.4
9107,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Male,Not stated,
9108,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,All NACE economic sectors,903.3
9109,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,"Agriculture, forestry and fishing (A)",15.9
9110,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Construction (F),6.7
9111,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.3
9112,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Transportation and storage (H),17.2
9113,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Accommodation and food service activities (I),69.8
9114,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Information and communication (J),30.1
9115,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,"Professional, scientific and technical activities (M)",49.1
9116,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Administrative and support service activities (N),33.6
9117,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,"Public administration and defence, compulsory social security (O)",40.4
9118,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Education (P),106.3
