Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,Closing net worth,-35003
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),254220
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-27062
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),227158
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-45570
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),181588
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-34125
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),145829
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-179954
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",93436
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",33262
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",33996
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",26177
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",273390
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",246996
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",26393
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Estimated pension liabilities of government,169800
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Net worth, including pension liabilities",-203925
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Contingent liabilities,6185
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,"Net worth, including pension liabilities and contingent liabilities",-210110
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,General Government: changes in net worth - Opening net worth,-35003
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to transactions,-696
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),816
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1513
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),1575
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,1038
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to other economic flows - Other changes in financial assets,2534
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Change in net worth due to other economic flows - Other changes in liabilities,-1997
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Closing net worth,-34124
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),246996
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-29111
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),217885
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-33262
"General Government Net Worth, Gross and Net Debt ESA 2010",2020Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),184623
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-30612
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),149834
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-180445
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",101694
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",40107
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",36271
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",25316
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",282140
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",254771
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",27369
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Estimated pension liabilities of government,169800
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Net worth, including pension liabilities",-200412
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Contingent liabilities,6185
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,"Net worth, including pension liabilities and contingent liabilities",-206597
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,General Government: changes in net worth - Opening net worth,-34124
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to transactions,-6887
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),318
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-7205
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),10400
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,3686
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to other economic flows - Other changes in financial assets,2315
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Change in net worth due to other economic flows - Other changes in liabilities,4399
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Closing net worth,-30611
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),254771
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-24355
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),230416
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-40107
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),190309
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-27510
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),154191
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-181701
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",103066
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",42007
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",35288
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",25770
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",284766
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",256867
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",27899
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Estimated pension liabilities of government,169800
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Net worth, including pension liabilities",-197310
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Contingent liabilities,6185
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,"Net worth, including pension liabilities and contingent liabilities",-203495
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,General Government: changes in net worth - Opening net worth,-30611
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to transactions,-1462
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),671
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-2133
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),4563
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,3686
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to other economic flows - Other changes in financial assets,-803
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Change in net worth due to other economic flows - Other changes in liabilities,1681
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Closing net worth,-27510
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),256867
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,-22342
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),234525
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-42007
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),192518
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-21226
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),158807
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-180033
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",105619
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",43530
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",35427
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",26662
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",285652
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",257322
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",28331
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Estimated pension liabilities of government,169800
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Net worth, including pension liabilities",-191026
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Contingent liabilities,6185
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,"Net worth, including pension liabilities and contingent liabilities",-197211
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,General Government: changes in net worth - Opening net worth,-27510
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to transactions,146
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),930
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-784
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),6138
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,3686
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to other economic flows - Other changes in financial assets,603
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Change in net worth due to other economic flows - Other changes in liabilities,1849
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Closing net worth,-21226
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),257322
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-21023
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),236299
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-43530
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),192769
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-9768
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),163805
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-173573
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",109545
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",44751
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",35581
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",29212
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",283118
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",254322
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",28796
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Estimated pension liabilities of government,175700
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Net worth, including pension liabilities",-185468
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Contingent liabilities,6185
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,"Net worth, including pension liabilities and contingent liabilities",-191653
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,General Government: changes in net worth - Opening net worth,-21226
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to transactions,5191
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),1312
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),3879
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),6267
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,3686
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to other economic flows - Other changes in financial assets,250
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Change in net worth due to other economic flows - Other changes in liabilities,2331
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Closing net worth,-9768
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),254322
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-18195
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),236127
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-44751
"General Government Net Worth, Gross and Net Debt ESA 2010",2021Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),191376
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",5276
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),169709
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-164433
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",107616
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",42488
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",35632
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",29496
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",272049
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",243753
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",28296
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Estimated pension liabilities of government,175700
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Net worth, including pension liabilities",-170424
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Contingent liabilities,6187
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,"Net worth, including pension liabilities and contingent liabilities",-176611
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,General Government: changes in net worth - Opening net worth,-9768
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to transactions,-428
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),342
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-770
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),15471
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,5561
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to other economic flows - Other changes in financial assets,243
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Change in net worth due to other economic flows - Other changes in liabilities,9667
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Closing net worth,5276
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),243753
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-8572
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),235182
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-42488
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),192694
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",26062
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),176096
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-150034
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",111184
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",47899
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",34276
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",29009
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",261218
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",232739
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",28479
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Estimated pension liabilities of government,175700
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Net worth, including pension liabilities",-149638
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Contingent liabilities,6187
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,"Net worth, including pension liabilities and contingent liabilities",-155824
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,General Government: changes in net worth - Opening net worth,5276
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to transactions,3384
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),826
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),2558
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),17403
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,5561
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to other economic flows - Other changes in financial assets,-97
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Change in net worth due to other economic flows - Other changes in liabilities,11939
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Closing net worth,26063
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),232739
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,3871
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),236610
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-47899
"General Government Net Worth, Gross and Net Debt ESA 2010",2022Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),188711
