,Statistic,Quarter,Sector,value
11258,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7973.0
11259,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,General Government Expenditure on Goods & Services provided to Households,6155.0
11260,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,General Government Collective Consumption Expenditure,2979.0
11261,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,General Government Final Consumption Expenditure,9134.0
11262,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation,11495.0
11263,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Dwellings,
11264,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Improvements,
11265,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Other Building and Construction,
11266,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Transfer Costs,
11267,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Machinery and Equipment,2522.0
11268,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11269,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Intangible Assets,2388.0
11270,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6584.0
11271,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Value of Physical Changes in Stocks,51.0
11272,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Exports of Goods and Services (excluding Factor Income Flows),43787.0
11273,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Imports of Goods and Services (excluding Factor Income Flows),-39978.0
11274,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Product at Market Prices,50658.0
11275,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Net Factor Income from the Rest of the World,-8263.0
11276,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross National Product at Market Prices,42395.0
11277,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Statistical Discrepancy,
11278,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Export of Goods (excluding Factor Income Flows),22770.0
11279,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Import of Goods (excluding Factor Income Flows),-16223.0
11280,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Export of Services (excluding Factor Income Flows),21017.0
11281,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Import of Services (excluding Factor Income Flows),-23755.0
11282,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Final Domestic Demand,43730.0
11283,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q2,Total Domestic Demand,43781.0
11284,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Personal Expenditure on Consumer Goods and Services,24113.0
11285,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Household & NPISH Final Consumption Expenditure,22939.0
11286,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7939.0
11287,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,General Government Expenditure on Goods & Services provided to Households,6142.0
11288,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,General Government Collective Consumption Expenditure,2971.0
11289,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,General Government Final Consumption Expenditure,9113.0
11290,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation,11045.0
11291,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Dwellings,
11292,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Improvements,
11293,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Other Building and Construction,
11294,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Transfer Costs,
11295,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Machinery and Equipment,3130.0
11296,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11297,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Intangible Assets,1971.0
11298,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5944.0
11299,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Value of Physical Changes in Stocks,-304.0
11300,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Exports of Goods and Services (excluding Factor Income Flows),43588.0
11301,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Imports of Goods and Services (excluding Factor Income Flows),-38376.0
11302,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Product at Market Prices,50513.0
11303,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Net Factor Income from the Rest of the World,-8683.0
11304,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross National Product at Market Prices,41830.0
11305,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Statistical Discrepancy,
11306,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Export of Goods (excluding Factor Income Flows),22316.0
11307,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Import of Goods (excluding Factor Income Flows),-15649.0
11308,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Export of Services (excluding Factor Income Flows),21271.0
11309,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Import of Services (excluding Factor Income Flows),-22727.0
11310,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Final Domestic Demand,43097.0
11311,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q3,Total Domestic Demand,42793.0
11312,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Personal Expenditure on Consumer Goods and Services,24163.0
11313,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Household & NPISH Final Consumption Expenditure,22971.0
11314,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7924.0
11315,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,General Government Expenditure on Goods & Services provided to Households,6138.0
11316,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,General Government Collective Consumption Expenditure,2978.0
11317,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,General Government Final Consumption Expenditure,9116.0
11318,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross Domestic Fixed Capital Formation,11260.0
11319,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Dwellings,
11320,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Improvements,
11321,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Other Building and Construction,
11322,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Transfer Costs,
11323,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Machinery and Equipment,2506.0
11324,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11325,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Intangible Assets,3433.0
11326,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5322.0
11327,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Value of Physical Changes in Stocks,-309.0
11328,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Exports of Goods and Services (excluding Factor Income Flows),44714.0
11329,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Imports of Goods and Services (excluding Factor Income Flows),-40338.0
11330,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross Domestic Product at Market Prices,49297.0
11331,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Net Factor Income from the Rest of the World,-8481.0
11332,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross National Product at Market Prices,40816.0
11333,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Statistical Discrepancy,
11334,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Export of Goods (excluding Factor Income Flows),23018.0
11335,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Import of Goods (excluding Factor Income Flows),-15401.0
11336,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Export of Services (excluding Factor Income Flows),21696.0
11337,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Import of Services (excluding Factor Income Flows),-24936.0
11338,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Final Domestic Demand,43348.0
11339,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2009Q4,Total Domestic Demand,43039.0
11340,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Personal Expenditure on Consumer Goods and Services,24290.0
11341,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Household & NPISH Final Consumption Expenditure,23039.0
11342,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7768.0
11343,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,General Government Expenditure on Goods & Services provided to Households,6097.0
11344,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,General Government Collective Consumption Expenditure,2923.0
11345,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,General Government Final Consumption Expenditure,9020.0
11346,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross Domestic Fixed Capital Formation,9328.0
11347,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Dwellings,
11348,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Improvements,
11349,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Other Building and Construction,
11350,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Transfer Costs,
11351,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Machinery and Equipment,2167.0
11352,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11353,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross domestic fixed capital formation - Intangible Assets,2517.0
11354,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4644.0
11355,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Value of Physical Changes in Stocks,-515.0
11356,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Exports of Goods and Services (excluding Factor Income Flows),45467.0
11357,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Imports of Goods and Services (excluding Factor Income Flows),-38554.0
11358,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross Domestic Product at Market Prices,50652.0
11359,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Net Factor Income from the Rest of the World,-8343.0
11360,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Gross National Product at Market Prices,42310.0
11361,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Statistical Discrepancy,
11362,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Export of Goods (excluding Factor Income Flows),22519.0
11363,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Import of Goods (excluding Factor Income Flows),-14647.0
11364,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Export of Services (excluding Factor Income Flows),22948.0
11365,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Import of Services (excluding Factor Income Flows),-23908.0
11366,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Final Domestic Demand,41386.0
11367,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q1,Total Domestic Demand,40872.0
11368,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Personal Expenditure on Consumer Goods and Services,24410.0
11369,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Household & NPISH Final Consumption Expenditure,23126.0
11370,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7492.0
11371,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,General Government Expenditure on Goods & Services provided to Households,5946.0
11372,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,General Government Collective Consumption Expenditure,2829.0
11373,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,General Government Final Consumption Expenditure,8775.0
11374,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross Domestic Fixed Capital Formation,9783.0
11375,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Dwellings,
11376,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Improvements,
11377,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Other Building and Construction,
11378,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Transfer Costs,
11379,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Machinery and Equipment,2916.0
11380,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11381,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross domestic fixed capital formation - Intangible Assets,2257.0
11382,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4610.0
11383,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Value of Physical Changes in Stocks,-98.0
11384,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Exports of Goods and Services (excluding Factor Income Flows),47121.0
11385,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Imports of Goods and Services (excluding Factor Income Flows),-40348.0
11386,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross Domestic Product at Market Prices,50643.0
11387,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Net Factor Income from the Rest of the World,-8108.0
11388,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Gross National Product at Market Prices,42535.0
11389,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Statistical Discrepancy,
11390,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Export of Goods (excluding Factor Income Flows),23701.0
11391,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Import of Goods (excluding Factor Income Flows),-15175.0
11392,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Export of Services (excluding Factor Income Flows),23420.0
11393,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Import of Services (excluding Factor Income Flows),-25173.0
11394,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Final Domestic Demand,41684.0
11395,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q2,Total Domestic Demand,41586.0
11396,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Personal Expenditure on Consumer Goods and Services,24580.0
11397,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Household & NPISH Final Consumption Expenditure,23269.0
11398,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7385.0
11399,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,General Government Expenditure on Goods & Services provided to Households,5895.0
11400,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,General Government Collective Consumption Expenditure,2801.0
11401,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,General Government Final Consumption Expenditure,8696.0
11402,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross Domestic Fixed Capital Formation,9066.0
11403,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Dwellings,
11404,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Improvements,
11405,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Other Building and Construction,
11406,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Transfer Costs,
11407,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Machinery and Equipment,2229.0
11408,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11409,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross domestic fixed capital formation - Intangible Assets,2415.0
11410,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4422.0
11411,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Value of Physical Changes in Stocks,216.0
11412,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Exports of Goods and Services (excluding Factor Income Flows),48075.0
11413,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Imports of Goods and Services (excluding Factor Income Flows),-40963.0
11414,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross Domestic Product at Market Prices,51061.0
11415,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Net Factor Income from the Rest of the World,-7480.0
11416,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Gross National Product at Market Prices,43581.0
11417,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Statistical Discrepancy,
11418,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Export of Goods (excluding Factor Income Flows),24582.0
11419,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Import of Goods (excluding Factor Income Flows),-15431.0
11420,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Export of Services (excluding Factor Income Flows),23492.0
11421,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Import of Services (excluding Factor Income Flows),-25532.0
11422,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Final Domestic Demand,41031.0
11423,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q3,Total Domestic Demand,41246.0
11424,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Personal Expenditure on Consumer Goods and Services,24354.0
11425,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Household & NPISH Final Consumption Expenditure,23035.0
11426,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7647.0
11427,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,General Government Expenditure on Goods & Services provided to Households,6074.0
11428,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,General Government Collective Consumption Expenditure,2891.0
11429,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,General Government Final Consumption Expenditure,8966.0
11430,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Fixed Capital Formation,9974.0
11431,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Dwellings,
11432,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Improvements,
11433,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Other Building and Construction,
11434,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Transfer Costs,
11435,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Machinery and Equipment,2703.0
11436,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11437,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross domestic fixed capital formation - Intangible Assets,3241.0
11438,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4030.0
11439,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Value of Physical Changes in Stocks,42.0
11440,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Exports of Goods and Services (excluding Factor Income Flows),47804.0
11441,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Imports of Goods and Services (excluding Factor Income Flows),-41852.0
11442,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Product at Market Prices,50933.0
11443,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Net Factor Income from the Rest of the World,-6775.0
11444,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross National Product at Market Prices,44158.0
11445,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Statistical Discrepancy,
11446,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Export of Goods (excluding Factor Income Flows),23196.0
11447,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Import of Goods (excluding Factor Income Flows),-15665.0
11448,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Export of Services (excluding Factor Income Flows),24608.0
11449,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Import of Services (excluding Factor Income Flows),-26186.0
11450,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Final Domestic Demand,41974.0
11451,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Total Domestic Demand,42016.0
11452,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Personal Expenditure on Consumer Goods and Services,24270.0
11453,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Household & NPISH Final Consumption Expenditure,23009.0
11454,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7823.0
11455,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,General Government Expenditure on Goods & Services provided to Households,5943.0
11456,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,General Government Collective Consumption Expenditure,3141.0
11457,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,General Government Final Consumption Expenditure,9084.0
11458,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Fixed Capital Formation,8694.0
11459,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Dwellings,
11460,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Improvements,
11461,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Other Building and Construction,
11462,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Transfer Costs,
11463,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Machinery and Equipment,2257.0
11464,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11465,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross domestic fixed capital formation - Intangible Assets,2548.0
11466,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3889.0
11467,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Value of Physical Changes in Stocks,283.0
11468,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Exports of Goods and Services (excluding Factor Income Flows),49441.0
11469,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Imports of Goods and Services (excluding Factor Income Flows),-41555.0
11470,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Product at Market Prices,51178.0
11471,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Net Factor Income from the Rest of the World,-8846.0
11472,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross National Product at Market Prices,42332.0
11473,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Statistical Discrepancy,
