,Statistic,Quarter,Item,value
2680,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1653.0
2681,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities,-8992.0
2682,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-9269.0
2683,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),277.0
2684,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Memo: Net derivative flows on debt interest swap contracts,-17.0
2685,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),21023.0
2686,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26221.0
2687,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-5197.0
2688,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - ESA2010 Code (TR),19361.0
2689,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18066.0
2690,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14167.0
2691,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3900.0
2692,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),926.0
2693,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),42.0
2694,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),197.0
2695,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),130.0
2696,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - ESA2010 Code (TE),25584.0
2697,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25313.0
2698,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6258.0
2699,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3921.0
2700,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1411.0
2701,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),826.0
2702,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1755.0
2703,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9364.0
2704,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1379.0
2705,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),399.0
2706,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net operating balance - ESA2010 Code  (NOB),-5952.0
2707,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),271.0
2708,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-6223.0
2709,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net acquisition of financial assets,5807.0
2710,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),6735.0
2711,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),249.0
2712,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-1177.0
2713,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net incurrence of liabilities,13175.0
2714,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),12709.0
2715,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),466.0
2716,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Memo: Net derivative flows on debt interest swap contracts,-11.0
2717,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),21898.0
2718,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26513.0
2719,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-4615.0
2720,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - ESA2010 Code (TR),23781.0
2721,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),22187.0
2722,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),17979.0
2723,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4208.0
2724,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),954.0
2725,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),288.0
2726,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),228.0
2727,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),124.0
2728,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - ESA2010 Code (TE),26245.0
2729,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25627.0
2730,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6713.0
2731,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3981.0
2732,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1411.0
2733,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),823.0
2734,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1790.0
2735,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9355.0
2736,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1163.0
2737,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),391.0
2738,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net operating balance - ESA2010 Code  (NOB),-1846.0
2739,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),618.0
2740,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-2464.0
2741,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net acquisition of financial assets,2197.0
2742,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),1934.0
2743,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-485.0
2744,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),748.0
2745,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net incurrence of liabilities,4282.0
2746,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),3502.0
2747,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),780.0
2748,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,Memo: Net derivative flows on debt interest swap contracts,-8.0
2749,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),24441.0
2750,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26543.0
2751,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2103.0
2752,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - ESA2010 Code (TR),24015.0
2753,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),22142.0
2754,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),17807.0
2755,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4334.0
2756,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1063.0
2757,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),98.0
2758,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),417.0
2759,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),295.0
2760,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - ESA2010 Code (TE),26602.0
2761,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25723.0
2762,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6870.0
2763,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4109.0
2764,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1411.0
2765,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),815.0
2766,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1865.0
2767,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9376.0
2768,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),889.0
2769,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),388.0
2770,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net operating balance - ESA2010 Code  (NOB),-1708.0
2771,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),879.0
2772,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-2587.0
2773,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net acquisition of financial assets,1810.0
2774,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),1324.0
2775,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-369.0
2776,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),856.0
2777,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net incurrence of liabilities,2769.0
2778,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),2316.0
2779,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),453.0
2780,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,Memo: Net derivative flows on debt interest swap contracts,-6.0
2781,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),25394.0
2782,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26639.0
2783,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1245.0
2784,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - ESA2010 Code (TR),32133.0
2785,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),30577.0
2786,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),25704.0
2787,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4873.0
2788,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1115.0
2789,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),53.0
2790,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),225.0
2791,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),163.0
2792,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - ESA2010 Code (TE),27459.0
2793,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),26200.0
2794,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6791.0
2795,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4261.0
2796,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1411.0
2797,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),828.0
2798,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1889.0
2799,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9324.0
2800,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1196.0
2801,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),500.0
2802,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net operating balance - ESA2010 Code  (NOB),5933.0
2803,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1258.0
2804,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government Surplus/Deficit - ESA2010 Code (B9),4675.0
2805,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net acquisition of financial assets,3479.0
2806,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),1268.0
2807,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-349.0
2808,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),2560.0
2809,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net incurrence of liabilities,-223.0
2810,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-687.0
2811,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),464.0
2812,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,Memo: Net derivative flows on debt interest swap contracts,-4.0
2813,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),27434.0
2814,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26145.0
2815,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1290.0
2816,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - ESA2010 Code (TR),24316.0
2817,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),22862.0
2818,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),18095.0
2819,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4767.0
2820,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1053.0
2821,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),19.0
2822,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),240.0
2823,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),142.0
2824,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - ESA2010 Code (TE),24677.0
2825,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),24381.0
2826,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6933.0
2827,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4153.0
2828,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1636.0
2829,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),758.0
2830,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1222.0
2831,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),8079.0
2832,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1102.0
2833,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),498.0
2834,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net operating balance - ESA2010 Code  (NOB),-66.0
2835,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),295.0
2836,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-361.0
2837,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net acquisition of financial assets,-2275.0
2838,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-2337.0
2839,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-239.0
2840,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),300.0
2841,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net incurrence of liabilities,-1289.0
2842,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-885.0
2843,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),-404.0
2844,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,Memo: Net derivative flows on debt interest swap contracts,-2.0
2845,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),26937.0
2846,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),25675.0
2847,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1263.0
2848,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - ESA2010 Code (TR),27673.0
2849,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),25922.0
